Unnamed: 0,weekday_0,weekday_1,weekday_2,weekday_3,weekday_4,weekday_5,weekday_6,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,quarter_1,quarter_2,quarter_3,quarter_4,mean,std,median,max,min,20_число,21_число,22_число,23_число,y
2015-03-23,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,455014.28571428574,632525.8240540365,111600.0,1765800.0,48500.0,0,0,0,1,728900.0
2015-03-24,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,544442.8571428572,618544.007750305,320000.0,1765800.0,48500.0,0,0,0,0,560100.0
2015-03-25,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,615657.1428571428,581261.2346072485,560100.0,1765800.0,48500.0,0,0,0,0,346600.0
2015-03-26,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,649228.5714285715,553416.1475607234,560100.0,1765800.0,48500.0,0,0,0,0,309300.0
2015-03-27,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,686485.7142857143,513578.38554132904,560100.0,1765800.0,309300.0,0,0,0,0,203300.0
2015-03-28,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,604857.1428571428,541851.864310849,346600.0,1765800.0,203300.0,0,0,0,0,130500.0
2015-03-29,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,371242.85714285716,206888.69678438842,320000.0,728900.0,130500.0,0,0,0,0,30900.0
2015-03-30,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,329942.85714285716,244296.6765849997,309300.0,728900.0,30900.0,0,0,0,0,199300.0
2015-03-31,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,254285.7142857143,171229.83023382482,203300.0,560100.0,30900.0,0,0,0,0,155600.0
2015-04-01,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,196500.0,107051.46737278452,199300.0,346600.0,30900.0,0,0,0,0,122300.0
